S(Q) d_Q
0.704995 0.3198615
0.728325 0.3742156
0.751655 0.4366131
0.774985 0.5082868
0.798315 0.5841398
0.821645 0.6602309
0.844975 0.7379839
0.868305 0.8126221
0.891635 0.8759727
0.914965 0.9305703
0.938295 0.9734363
0.961625 1.002227
0.984955 1.018651
1.008285 1.024297
1.031615 1.020404
1.054945 1.010197
1.078275 0.9951946
1.101605 0.9763176
1.124935 0.9572675
1.148265 0.937422
1.171595 0.9177299
1.194925 0.8986539
1.218255 0.8815924
1.241585 0.8656187
1.264915 0.850571
1.288245 0.8381821
1.311575 0.8261736
1.334905 0.8153697
1.358235 0.805262
1.381565 0.7960213
1.404895 0.7866484
1.428225 0.7764338
1.451555 0.7668887
1.474885 0.7565224
1.498215 0.7456782
1.521545 0.7346943
1.544875 0.7229307
1.568205 0.7110382
1.591535 0.6988153
1.614865 0.6873708
1.638195 0.6762665
1.661525 0.6659288
1.684855 0.6570971
1.708185 0.6493182
1.731515 0.6430053
1.754845 0.6385543
1.778175 0.6361258
1.801505 0.6353815
1.824835 0.6364465
1.848165 0.6396039
1.871495 0.6442089
1.894825 0.6504195
1.918155 0.6579952
1.941485 0.6671937
1.964815 0.67819
1.988145 0.6906832
2.011475 0.7043626
2.034805 0.7193655
2.058135 0.7360509
2.081465 0.7539765
2.104795 0.7733786
2.128125 0.7940542
2.151455 0.8162078
2.174785 0.8392859
2.198115 0.8636359
2.221445 0.889573
2.244775 0.9155187
2.268105 0.9421689
2.291435 0.9690718
2.314765 0.9955969
2.338095 1.021159
2.361425 1.0456
2.384755 1.068592
2.408085 1.088945
2.431415 1.107113
2.454745 1.122582
2.478075 1.134726
2.501405 1.143668
2.524735 1.149511
2.548065 1.15189
2.571395 1.151394
2.594725 1.148139
2.618055 1.141627
2.641385 1.133274
2.664715 1.123155
2.688045 1.11114
2.711375 1.097465
2.734705 1.083594
2.758035 1.068745
2.781365 1.052482
2.804695 1.036596
2.828025 1.020972
2.851355 1.004801
2.874685 0.9884098
2.898015 0.9730724
2.921345 0.9580498
2.944675 0.9426905
2.968005 0.9280543
2.991335 0.9143829
3.014665 0.9008137
3.037995 0.8874052
3.061325 0.8752414
3.084655 0.8635727
3.107985 0.8518204
3.131315 0.8404509
3.154645 0.8300217
3.177975 0.8196992
3.201305 0.8093855
3.224635 0.8001404
3.247965 0.7910596
3.271295 0.7820598
3.294625 0.7734518
3.317955 0.7652687
3.341285 0.7572989
3.364615 0.7492862
3.387945 0.7419111
3.411275 0.7347682
3.434605 0.727518
3.457935 0.7208451
3.481265 0.7146856
3.504595 0.7082028
3.527925 0.7016271
3.551255 0.695771
3.574585 0.6901389
3.597915 0.6844337
3.621245 0.6791315
3.644575 0.6743564
3.667905 0.6697108
3.691235 0.6652942
3.714565 0.6613316
3.737895 0.6577881
3.761225 0.6544845
3.784555 0.6515147
3.807885 0.6492322
3.831215 0.6473199
3.854545 0.6456999
3.877875 0.644739
3.901205 0.6442092
3.924535 0.6443072
3.947865 0.6453253
3.971195 0.6468898
3.994525 0.649229
4.017855 0.6522326
4.041185 0.6559494
4.064515 0.6605581
4.087845 0.6658569
4.111175 0.6718165
4.134505 0.6785664
4.157835 0.6861074
4.181165 0.6944565
4.204495 0.7035526
4.227825 0.7133273
4.251155 0.7239262
4.274485 0.735498
4.297815 0.7479003
4.321145 0.761064
4.344475 0.775036
4.367805 0.789781
4.391135 0.80506
4.414465 0.8209303
4.437795 0.8373204
4.461125 0.8543741
4.484455 0.8718267
4.507785 0.8897434
4.531115 0.9080765
4.554445 0.9266866
4.577775 0.9454576
4.601105 0.964544
4.624435 0.9838977
4.647765 1.003653
4.671095 1.02361
4.694425 1.043555
4.717755 1.063604
4.741085 1.083589
4.764416 1.103463
4.787746 1.123026
4.811076 1.14225
4.834406 1.161074
4.857736 1.179547
4.881066 1.19752
4.904396 1.214883
4.927726 1.231502
4.951056 1.247422
4.974386 1.262619
4.997716 1.276539
5.021046 1.289642
5.044376 1.301884
5.067706 1.312939
5.091036 1.322817
5.114366 1.331526
5.137696 1.339279
5.161026 1.345495
5.184356 1.35036
5.207686 1.354104
5.231016 1.356486
5.254346 1.357419
5.277676 1.357171
5.301006 1.355436
5.324336 1.352605
5.347666 1.348518
5.370996 1.343322
5.394326 1.336869
5.417656 1.32911
5.440986 1.320279
5.464316 1.31079
5.487646 1.300128
5.510976 1.288582
5.534306 1.276497
5.557636 1.263691
5.580966 1.250389
5.604296 1.236708
5.627626 1.222621
5.650956 1.208128
5.674286 1.193334
5.697616 1.178036
5.720946 1.162985
5.744276 1.147724
5.767606 1.132503
5.790936 1.117506
5.814266 1.102923
5.837596 1.08827
5.860926 1.074074
5.884256 1.060158
5.907586 1.046709
5.930916 1.033697
5.954246 1.021149
5.977576 1.009319
6.000906 0.9981709
6.024236 0.987368
6.047566 0.9773799
6.070896 0.9683469
6.094226 0.9600751
6.117556 0.9524606
6.140886 0.9455324
6.164216 0.9394324
6.187546 0.9340091
6.210876 0.9292113
6.234206 0.9249361
6.257536 0.9215645
6.280866 0.918911
6.304196 0.9166498
6.327526 0.9151865
6.350856 0.9143975
6.374186 0.9139612
6.397516 0.9141852
6.420846 0.9149051
6.444176 0.9159009
6.467506 0.9173673
6.490836 0.9192375
6.514166 0.9214062
6.537496 0.9239405
6.560826 0.9265629
6.584156 0.9293952
6.607486 0.9321687
6.630816 0.9343642
6.654146 0.9375501
6.677476 0.9407939
6.700806 0.9436397
6.724136 0.9464995
6.747466 0.9491817
6.770796 0.9517541
6.794126 0.9542333
6.817456 0.9563045
6.840786 0.9583388
6.864116 0.9603305
6.887446 0.9618135
6.910776 0.9629816
6.934106 0.9640446
6.957436 0.9649865
6.980766 0.9656433
7.004096 0.9660143
7.027426 0.9662365
7.050756 0.9661581
7.074086 0.9660034
7.097416 0.9659259
7.120746 0.9654411
7.144076 0.9648868
7.167406 0.9642443
7.190736 0.9633583
7.214066 0.9623596
7.237396 0.9612086
7.260726 0.9599716
7.284056 0.9585114
7.307386 0.956938
7.330716 0.9552773
7.354046 0.9538981
7.377376 0.9524061
7.400706 0.9506901
7.424036 0.9490131
7.447366 0.9474172
7.470696 0.9458384
7.494026 0.9442766
7.517356 0.9428435
7.540686 0.9414989
7.564016 0.9401344
7.587346 0.9389191
7.610676 0.9379477
7.634006 0.9369879
7.657336 0.9359554
7.680666 0.934907
7.703996 0.9339609
7.727326 0.9331316
7.750656 0.932375
7.773986 0.931714
7.797316 0.9308699
7.820646 0.9302655
7.843976 0.9296678
7.867306 0.9290654
7.890636 0.9286144
7.913966 0.9280718
7.937296 0.9277432
7.960626 0.9273572
7.983956 0.9269747
8.007286 0.9268998
8.030616 0.9269084
8.053946 0.9270137
8.077276 0.9273765
8.100606 0.9276356
8.123936 0.9279834
8.147266 0.9285336
8.170596 0.9289779
8.193926 0.9293434
8.217256 0.9299406
8.240586 0.9306262
8.263916 0.9312639
8.287246 0.9319779
8.310576 0.9328607
8.333906 0.9341596
8.357236 0.9354608
8.380566 0.9367465
8.403896 0.9379559
8.427226 0.9393351
8.450556 0.9410397
8.473886 0.942747
8.497216 0.9444482
8.520546 0.9464572
8.543876 0.9484823
8.567206 0.9506957
8.590536 0.9529363
8.613866 0.9551296
8.637196 0.9575163
8.660526 0.9597299
8.683856 0.9621439
8.707186 0.9647045
8.730516 0.9671085
8.753846 0.9697773
8.777176 0.9722783
8.800506 0.9746845
8.823836 0.977262
8.847166 0.9798054
8.870496 0.9827684
8.893826 0.985475
8.917156 0.988057
8.940486 0.9909125
8.963816 0.9938092
8.987146 0.9968434
9.010476 0.9999855
9.033806 1.003158
9.057136 1.006596
9.080466 1.010078
9.103796 1.013817
9.127126 1.017476
9.150456 1.021131
9.173786 1.025064
9.197116 1.029032
9.220446 1.033016
9.243776 1.037022
9.267106 1.041351
9.290436 1.045679
9.313766 1.050153
9.337096 1.054633
9.360426 1.059096
9.383756 1.063685
9.407086 1.068521
9.430416 1.073322
9.453746 1.078269
9.477076 1.083058
9.500406 1.088
9.523736 1.093125
9.547066 1.098062
9.570396 1.103155
9.593726 1.108319
9.617056 1.113206
9.640386 1.11849
9.663716 1.123643
9.687046 1.128685
9.710376 1.133777
9.733706 1.138314
9.757036 1.142975
9.780366 1.147705
9.803696 1.152209
9.827026 1.156493
9.850356 1.16041
9.873686 1.164248
9.897016 1.16813
9.920346 1.171852
9.943676 1.175155
9.967006 1.178252
9.990336 1.181129
10.01367 1.183437
