# frac_cluster_size	cum_prob
2.000000000000000042e-02 3.235166642588044317e-01
4.000000000000000083e-02 3.694364491070535328e-01
5.999999999999999778e-02 3.836280186257404190e-01
8.000000000000000167e-02 3.907515864107664605e-01
1.000000000000000056e-01 3.938521720769478374e-01
1.199999999999999956e-01 3.959747952391006742e-01
1.400000000000000133e-01 3.973306068924129519e-01
1.600000000000000033e-01 3.991865130080125557e-01
1.799999999999999933e-01 3.997088338908459937e-01
2.000000000000000111e-01 4.002200415634063480e-01
2.200000000000000011e-01 4.007090228154205902e-01
2.399999999999999911e-01 4.010313059133390756e-01
2.600000000000000089e-01 4.014091550626228133e-01
2.800000000000000266e-01 4.019870419968215036e-01
2.999999999999999889e-01 4.034428725425912576e-01
3.200000000000000067e-01 4.036873631685983788e-01
3.400000000000000244e-01 4.039651934254246957e-01
3.599999999999999867e-01 4.041985708411587885e-01
3.800000000000000044e-01 4.046430992520808623e-01
4.000000000000000222e-01 4.055654957047441500e-01
4.199999999999999845e-01 4.074436282408898657e-01
4.400000000000000022e-01 4.080770812264538083e-01
4.600000000000000200e-01 4.084327039551914340e-01
4.799999999999999822e-01 4.087883266839290597e-01
5.000000000000000000e-01 4.094440060900391143e-01
5.200000000000000178e-01 4.098107420290498237e-01
5.400000000000000355e-01 4.101774779680605332e-01
5.600000000000000533e-01 4.108776102152627563e-01
5.799999999999999600e-01 4.130002333774155932e-01
5.999999999999999778e-01 4.133558561061532188e-01
6.199999999999999956e-01 4.136559127835255922e-01
6.400000000000000133e-01 4.140559883533554419e-01
6.600000000000000311e-01 4.147227809697385248e-01
6.800000000000000488e-01 4.152006490114797388e-01
6.999999999999999556e-01 4.160897058333238863e-01
7.199999999999999734e-01 4.165675738750651003e-01
7.399999999999999911e-01 4.170898947578985383e-01
7.600000000000000089e-01 4.172343664914481831e-01
7.800000000000000266e-01 4.176900081126432851e-01
8.000000000000000444e-01 4.183345743084802559e-01
8.199999999999999512e-01 4.194014424946931885e-01
8.399999999999999689e-01 4.215351788671191091e-01
8.599999999999999867e-01 4.232466132491690680e-01
8.800000000000000044e-01 4.265916895413575660e-01
9.000000000000000222e-01 4.330373514997274964e-01
9.200000000000000400e-01 4.468955247102228134e-01
9.399999999999999467e-01 4.742895880332949621e-01
9.599999999999999645e-01 5.407132458353242077e-01
9.799999999999999822e-01 7.027438516164161708e-01
1.000000000000000000e+00 9.999999999999997780e-01
