# cluster_size   prob
0.000000000000000000e+00 6.476356797420741371e-03
1.000000000000000000e+00 6.247313272434175391e-02
2.000000000000000000e+00 1.913104513702310605e-01
3.000000000000000000e+00 3.069028747984954286e-01
4.000000000000000000e+00 2.738023911875335781e-01
5.000000000000000000e+00 1.197481192907039194e-01
6.000000000000000000e+00 3.304003224073079337e-02
7.000000000000000000e+00 5.583019881783986803e-03
8.000000000000000000e+00 6.354110693175712195e-04
9.000000000000000000e+00 2.821063944116066518e-05
