# frac_cluster_size	cum_prob
2.000000000000000042e-02 2.213772887548323964e-01
4.000000000000000083e-02 2.841072263052805691e-01
5.999999999999999778e-02 2.887888185564382315e-01
8.000000000000000167e-02 2.919750201792769007e-01
1.000000000000000056e-01 2.959938824928841083e-01
1.199999999999999956e-01 3.028760779982156981e-01
1.400000000000000133e-01 3.054420323718084473e-01
1.600000000000000033e-01 3.092399847062321516e-01
1.799999999999999933e-01 3.092484812438930364e-01
2.000000000000000111e-01 3.093249500828411658e-01
2.399999999999999911e-01 3.094693912230765398e-01
7.600000000000000089e-01 3.096308254386336833e-01
7.800000000000000266e-01 3.096393219762945681e-01
8.000000000000000444e-01 3.098772250307998410e-01
8.199999999999999512e-01 3.108883130124472927e-01
8.399999999999999689e-01 3.165470070946088121e-01
8.599999999999999867e-01 3.197162156421257118e-01
8.800000000000000044e-01 3.267683419006753298e-01
9.000000000000000222e-01 3.300904881260884882e-01
9.200000000000000400e-01 3.340923573643738709e-01
9.399999999999999467e-01 3.484430094736393202e-01
9.599999999999999645e-01 4.223968732741406051e-01
9.799999999999999822e-01 5.614766982454647559e-01
1.000000000000000000e+00 9.999999999999997780e-01
