# cluster_size   prob
0.000000000000000000e+00 1.221623958901712007e-02
1.000000000000000000e+00 1.078230879309812346e-01
2.000000000000000000e+00 2.713852140879001174e-01
3.000000000000000000e+00 3.309869972100110136e-01
4.000000000000000000e+00 1.966015669237025643e-01
5.000000000000000000e+00 6.502527462345443487e-02
6.000000000000000000e+00 1.394335601700760763e-02
7.000000000000000000e+00 1.832744793221665084e-03
8.000000000000000000e+00 1.787240175841372223e-04
9.000000000000000000e+00 6.794807120134248935e-06
