# frac_cluster_size	cum_prob
2.000000000000000042e-02 5.055712763480089134e-01
4.000000000000000083e-02 6.257118461071632387e-01
5.999999999999999778e-02 6.698374838577648704e-01
8.000000000000000167e-02 6.903160702566527585e-01
1.000000000000000056e-01 7.013033752266970566e-01
1.199999999999999956e-01 7.083248064695962798e-01
1.400000000000000133e-01 7.132221665525831922e-01
1.600000000000000033e-01 7.168846015425979212e-01
1.799999999999999933e-01 7.194320755915292187e-01
2.000000000000000111e-01 7.216902243329641475e-01
2.200000000000000011e-01 7.231791911593478117e-01
2.399999999999999911e-01 7.246469878412804544e-01
2.600000000000000089e-01 7.257548920675469528e-01
2.800000000000000266e-01 7.266581515641209466e-01
2.999999999999999889e-01 7.275402409162439188e-01
3.200000000000000067e-01 7.283729332646480259e-01
3.400000000000000244e-01 7.289939241685425841e-01
3.599999999999999867e-01 7.295302344946333895e-01
3.800000000000000044e-01 7.301582821133449919e-01
4.000000000000000222e-01 7.307228192987037518e-01
4.199999999999999845e-01 7.313720370618662647e-01
4.400000000000000022e-01 7.320212548250287776e-01
4.600000000000000200e-01 7.325505084363025388e-01
4.799999999999999822e-01 7.330162516142234574e-01
5.000000000000000000e-01 7.336725260922030145e-01
5.200000000000000178e-01 7.343570274294505262e-01
5.400000000000000355e-01 7.350133019074300833e-01
5.600000000000000533e-01 7.358036539669322584e-01
5.799999999999999600e-01 7.365304955930815911e-01
5.999999999999999778e-01 7.373561312266687651e-01
6.199999999999999956e-01 7.383511280158635559e-01
6.400000000000000133e-01 7.396566202570056259e-01
6.600000000000000311e-01 7.409197722092457639e-01
6.800000000000000488e-01 7.425710434764200008e-01
6.999999999999999556e-01 7.444128460436528760e-01
7.199999999999999734e-01 7.467274485036237142e-01
7.399999999999999911e-01 7.493878299896267192e-01
7.600000000000000089e-01 7.529091306833017860e-01
7.800000000000000266e-01 7.574959953143414193e-01
8.000000000000000444e-01 7.639458326570648383e-01
8.199999999999999512e-01 7.719269771150738535e-01
8.399999999999999689e-01 7.829142820851181517e-01
8.599999999999999867e-01 7.974511146081053603e-01
8.800000000000000044e-01 8.162502028805510568e-01
9.000000000000000222e-01 8.412874270512106234e-01
9.200000000000000400e-01 8.729791332942862248e-01
9.399999999999999467e-01 9.103162113909490927e-01
9.599999999999999645e-01 9.493398443288711963e-01
9.799999999999999822e-01 9.824428935353436421e-01
1.000000000000000000e+00 1.000000000000000000e+00
