# cluster_size   prob
0.000000000000000000e+00 3.770392590253657250e-02
1.000000000000000000e+00 1.811819808441216817e-01
2.000000000000000000e+00 3.108325439427428449e-01
3.000000000000000000e+00 2.752315545732028079e-01
4.000000000000000000e+00 1.405267866540364230e-01
5.000000000000000000e+00 4.459951584043785056e-02
6.000000000000000000e+00 8.768550678875908569e-03
7.000000000000000000e+00 1.067782338701189250e-03
8.000000000000000000e+00 8.525418377012946517e-05
9.000000000000000000e+00 2.105041574571097989e-06
