# frac_cluster_size	cum_prob
2.000000000000000042e-02 4.973953746864078207e-01
4.000000000000000083e-02 6.048757959664510242e-01
5.999999999999999778e-02 6.407339133565812528e-01
8.000000000000000167e-02 6.572814052061196621e-01
1.000000000000000056e-01 6.664670635246784380e-01
1.199999999999999956e-01 6.718406932099708628e-01
1.400000000000000133e-01 6.754413773399555732e-01
1.600000000000000033e-01 6.777857358115434439e-01
1.799999999999999933e-01 6.797113190636656643e-01
2.000000000000000111e-01 6.810537480382142794e-01
2.200000000000000011e-01 6.820282810255687833e-01
2.399999999999999911e-01 6.827992970838372422e-01
2.600000000000000089e-01 6.833941927227042967e-01
2.800000000000000266e-01 6.840282262325494411e-01
2.999999999999999889e-01 6.845096220455799685e-01
3.200000000000000067e-01 6.849127421166543161e-01
3.400000000000000244e-01 6.853119484006309214e-01
3.599999999999999867e-01 6.856681030265315835e-01
3.800000000000000044e-01 6.860046887169432006e-01
4.000000000000000222e-01 6.862903951750832787e-01
4.199999999999999845e-01 6.865604464848321653e-01
4.400000000000000022e-01 6.868265840074831985e-01
4.600000000000000200e-01 6.870692388075473334e-01
4.799999999999999822e-01 6.874019107108610971e-01
5.000000000000000000e-01 6.876993585302946244e-01
5.200000000000000178e-01 6.880476855819996906e-01
5.400000000000000355e-01 6.883725299111178586e-01
5.600000000000000533e-01 6.886582363692579367e-01
5.799999999999999600e-01 6.889752531241805089e-01
5.999999999999999778e-01 6.893901145565483057e-01
6.199999999999999956e-01 6.899536998986328662e-01
6.400000000000000133e-01 6.905642506858911123e-01
6.600000000000000311e-01 6.913430943183551669e-01
6.800000000000000488e-01 6.921023690153301766e-01
6.999999999999999556e-01 6.931630053188365670e-01
7.199999999999999734e-01 6.945015205062874397e-01
7.399999999999999911e-01 6.961805351712476719e-01
7.600000000000000089e-01 6.984740144105640036e-01
7.800000000000000266e-01 7.016089578759093781e-01
8.000000000000000444e-01 7.057693135608807955e-01
8.199999999999999512e-01 7.114951840849760289e-01
8.399999999999999689e-01 7.196202061000284145e-01
8.599999999999999867e-01 7.313498260321633637e-01
8.800000000000000044e-01 7.478073007784521442e-01
9.000000000000000222e-01 7.721980219720006033e-01
9.200000000000000400e-01 8.065845554133544981e-01
9.399999999999999467e-01 8.529081395030271295e-01
9.599999999999999645e-01 9.084721749306279293e-01
9.799999999999999822e-01 9.642201583518257291e-01
1.000000000000000000e+00 9.999999999999997780e-01
