# cluster_size   prob
0.000000000000000000e+00 3.177175000000000138e-02
1.000000000000000000e+00 1.566437499999999983e-01
2.000000000000000000e+00 2.943664999999999754e-01
3.000000000000000000e+00 2.902687500000000198e-01
4.000000000000000000e+00 1.604909999999999948e-01
5.000000000000000000e+00 5.366225000000000162e-02
6.000000000000000000e+00 1.116849999999999961e-02
7.000000000000000000e+00 1.494000000000000102e-03
8.000000000000000000e+00 1.269999999999999970e-04
9.000000000000000000e+00 6.499999999999999600e-06
