# frac_cluster_size	cum_prob
7.142857142857142461e-02 3.781993544997372947e-01
1.428571428571428492e-01 4.388838850108834344e-01
2.142857142857142738e-01 4.635592584252795634e-01
2.857142857142856984e-01 4.697703219995496005e-01
3.571428571428571508e-01 4.772573744652104932e-01
4.285714285714285476e-01 4.798093522479921491e-01
5.000000000000000000e-01 4.840689034001350866e-01
5.714285714285713969e-01 4.960969751557456897e-01
6.428571428571429047e-01 5.010508143811454040e-01
7.142857142857143016e-01 5.188958943180965733e-01
7.857142857142856984e-01 5.639120318246642061e-01
8.571428571428570953e-01 6.319334984613076411e-01
9.285714285714286031e-01 8.149440816632891327e-01
1.000000000000000000e+00 1.000000000000000000e+00
