# frac_cluster_size	cum_prob
7.142857142857142461e-02 3.654945202716331498e-01
1.428571428571428492e-01 4.271882894218670401e-01
2.142857142857142738e-01 4.526130764280431595e-01
2.857142857142856984e-01 4.724284657721086189e-01
3.571428571428571508e-01 4.897369154075938424e-01
4.285714285714285476e-01 4.935789686008202892e-01
5.000000000000000000e-01 4.978244373793355160e-01
5.714285714285713969e-01 5.335555320763416542e-01
6.428571428571429047e-01 5.454658969753436448e-01
7.142857142857143016e-01 5.615448895889963987e-01
7.857142857142856984e-01 6.000230523191594223e-01
8.571428571428570953e-01 6.585759429839306289e-01
9.285714285714286031e-01 8.126134606333624832e-01
1.000000000000000000e+00 1.000000000000000000e+00
