# frac_cluster_size	cum_prob
2.564102564102564014e-02 4.002913521387895801e-01
5.128205128205128027e-02 5.224440471460733981e-01
7.692307692307692735e-02 6.030393325387366499e-01
1.025641025641025605e-01 6.531552112303007362e-01
1.282051282051281937e-01 6.874784796715668334e-01
1.538461538461538547e-01 7.259899351079328600e-01
1.794871794871794879e-01 7.553602171897763062e-01
2.051282051282051211e-01 7.744570255595286667e-01
2.307692307692307820e-01 7.877201695139718352e-01
2.564102564102563875e-01 8.024102767845320283e-01
2.820512820512820484e-01 8.126638855780693449e-01
3.076923076923077094e-01 8.228910078135348583e-01
3.333333333333333148e-01 8.332042113627335933e-01
3.589743589743589758e-01 8.422791683220767212e-01
3.846153846153846367e-01 8.504734472255331967e-01
4.102564102564102422e-01 8.605217851940142326e-01
4.358974358974359031e-01 8.704608661104491496e-01
4.615384615384615641e-01 8.807508939213350985e-01
4.871794871794871695e-01 8.899649053105550545e-01
5.128205128205127750e-01 8.987551317706266030e-01
5.384615384615384359e-01 9.062839359025296471e-01
5.641025641025640969e-01 9.124089524566284526e-01
5.897435897435897578e-01 9.183022116275991742e-01
6.153846153846154188e-01 9.251522977089129407e-01
6.410256410256410797e-01 9.320255595285394934e-01
6.666666666666666297e-01 9.392663223414119411e-01
6.923076923076922906e-01 9.472420871407762899e-01
7.179487179487179516e-01 9.550158919348432640e-01
7.435897435897436125e-01 9.621507085154286099e-01
7.692307692307692735e-01 9.698947159316648747e-01
7.948717948717948234e-01 9.763276387233480458e-01
8.205128205128204844e-01 9.813071116408423888e-01
8.461538461538461453e-01 9.854588796185936861e-01
8.717948717948718063e-01 9.891338895510529694e-01
8.974358974358974672e-01 9.923420738974971789e-01
9.230769230769231282e-01 9.952191762680441256e-01
9.487179487179486781e-01 9.973347900940274791e-01
9.743589743589743390e-01 9.990564163686931343e-01
1.000000000000000000e+00 1.000000000000000222e+00
