# frac_cluster_size	cum_prob
7.142857142857142461e-02 3.935153699673558103e-01
1.428571428571428492e-01 4.938877176278563264e-01
2.142857142857142738e-01 5.210997007616974264e-01
2.857142857142856984e-01 5.454723204570184336e-01
3.571428571428571508e-01 5.631800870511425305e-01
4.285714285714285476e-01 5.885558351468987981e-01
5.000000000000000000e-01 6.083888737758432752e-01
5.714285714285713969e-01 6.282984221980413286e-01
6.428571428571429047e-01 6.442379624591947351e-01
7.142857142857143016e-01 6.686955930359085309e-01
7.857142857142856984e-01 7.156981093579977138e-01
8.571428571428570953e-01 7.930835146898802535e-01
9.285714285714286031e-01 8.983354869423285649e-01
1.000000000000000000e+00 1.000000000000000000e+00
