# frac_cluster_size	cum_prob
2.564102564102564014e-02 5.231364982260832130e-01
5.128205128205128027e-02 6.651721010465664330e-01
7.692307692307692735e-02 7.408236486666726073e-01
1.025641025641025605e-01 7.927562842890550909e-01
1.282051282051281937e-01 8.312378293305353605e-01
1.538461538461538547e-01 8.602006882263499854e-01
1.794871794871794879e-01 8.828103465139646167e-01
2.051282051282051211e-01 9.012630820803286813e-01
2.307692307692307820e-01 9.164258467229222660e-01
2.564102564102563875e-01 9.292989694388377186e-01
2.820512820512820484e-01 9.401669882539146483e-01
3.076923076923077094e-01 9.497079039328490957e-01
3.333333333333333148e-01 9.579772903088127345e-01
3.589743589743589758e-01 9.650551737015730103e-01
3.846153846153846367e-01 9.709282163911686636e-01
4.102564102564102422e-01 9.761477108026640481e-01
4.358974358974359031e-01 9.804713550234299690e-01
4.615384615384615641e-01 9.839258244933889452e-01
4.871794871794871695e-01 9.867912113317268696e-01
5.128205128205127750e-01 9.890675155384437423e-01
5.384615384615384359e-01 9.910992948792046731e-01
5.641025641025640969e-01 9.928131918942229017e-01
5.897435897435897578e-01 9.942158754434791135e-01
6.153846153846154188e-01 9.954184931933168778e-01
6.410256410256410797e-01 9.965099632768109617e-01
6.666666666666666297e-01 9.973191182877924055e-01
6.923076923076922906e-01 9.980571387923139470e-01
7.179487179487179516e-01 9.986662280038768325e-01
7.435897435897436125e-01 9.990974809492899622e-01
7.692307692307692735e-01 9.994020255550714049e-01
7.948717948717948234e-01 9.996332127010660873e-01
8.205128205128204844e-01 9.998132719205427010e-01
8.461538461538461453e-01 9.998977441469638627e-01
8.717948717948718063e-01 9.999577638867893636e-01
8.974358974358974672e-01 9.999755475134043392e-01
9.230769230769231282e-01 9.999955540933461728e-01
9.487179487179486781e-01 9.999999999999998890e-01
