# frac_cluster_size	cum_prob
7.142857142857142461e-02 2.470350264513675176e-01
1.428571428571428492e-01 3.007330313612945893e-01
2.142857142857142738e-01 3.198713737422634318e-01
2.857142857142856984e-01 3.301925936170948539e-01
3.571428571428571508e-01 3.371944261954981092e-01
4.285714285714285476e-01 3.431935271947719746e-01
5.000000000000000000e-01 3.492617820960547959e-01
5.714285714285713969e-01 3.554510563258532208e-01
6.428571428571429047e-01 3.643546212095017944e-01
7.142857142857143016e-01 3.780816707582725922e-01
7.857142857142856984e-01 4.027177483489506327e-01
8.571428571428570953e-01 4.612565263995021536e-01
9.285714285714286031e-01 6.122194944849763676e-01
1.000000000000000000e+00 1.000000000000000000e+00
